Date,Predicted_Index
2026-05-18,110.60242916686367
2026-05-25,111.01434680220243
2026-06-01,111.60118922230488
2026-06-08,112.13630729106892
2026-06-15,112.65511095245768
2026-06-22,113.15241649178023
2026-06-29,113.62325499647505
2026-07-06,114.0629220038417
2026-07-13,114.46702450647722
2026-07-20,114.83152484575378
2026-07-27,116.9461706426412
2026-08-03,119.0438286388207
2026-08-10,122.99303968687445
2026-08-17,123.83618011189662
2026-08-24,123.96549810421821
2026-08-31,124.03665198728281
2026-09-07,124.04893081501113
2026-09-14,123.92820142458699
2026-09-21,123.82301438777802
2026-09-28,123.73423287183599
2026-10-05,123.5156503137338
2026-10-12,123.2433983767972
2026-10-19,122.92019731238553
2026-10-26,122.54927643869834
2026-11-02,122.13434187449538
2026-11-09,121.67953950878302
2026-11-16,120.6776691096621
2026-11-23,120.15931491443543
2026-11-30,119.38086920537414
2026-12-07,118.81881411213541
2026-12-14,118.28984835568852
2026-12-21,117.19188442570254
2026-12-28,113.53086216574698
2027-01-04,109.53045129811929
2027-01-11,109.04239765710227
2027-01-18,108.49671291492034
2027-01-25,108.06617312977322
2027-02-01,105.47375421343864
2027-02-08,103.91348951641761
2027-02-15,101.86784234727178
2027-02-22,99.38026854805838
2027-03-01,99.14008182846624
2027-03-08,98.84245042766749
2027-03-15,96.23018040634062
2027-03-22,96.05149378296139
2027-03-29,95.97708552154641
2027-04-05,95.89554643938284
2027-04-12,95.86410185977816
2027-04-19,95.8830659665776
2027-04-26,95.95224927669472
2027-05-03,96.07096053336377
2027-05-10,96.23801361294888
2027-05-17,96.4517393762992
2027-05-24,96.7100023462357
2027-05-31,97.01022204453315
2027-06-07,97.34939877520561
2027-06-14,97.72414359647713
2027-06-21,98.13071218196772
2027-06-28,98.56504223276487
2027-07-05,99.02279406657144
2027-07-12,101.90232466785116
2027-07-19,102.40486079507129
2027-07-26,102.9168019776136
2027-08-02,104.93685333669785
2027-08-09,106.7003210371252
2027-08-16,109.53283419443268
2027-08-23,112.88810550854518
2027-08-30,112.96806814864884
2027-09-06,113.1920130782109
2027-09-13,113.69948744811164
2027-09-20,114.13347247838173
2027-09-27,114.53118808689999
2027-10-04,114.88866043077333
2027-10-11,116.99647883717162
2027-10-18,119.08656988808991
2027-10-25,123.02806484981468
2027-11-01,123.86194433747066
2027-11-08,123.98155688270413
2027-11-15,124.0428448646743
2027-11-22,124.0451959141244
2027-11-29,123.91458419558725
2027-12-06,123.79964866034791
2027-12-13,123.70133247206127
2027-12-20,123.47355792565061
2027-12-27,123.19253457363341
2028-01-03,122.86107030844902
2028-01-10,122.48247701146764
2028-01-17,122.0605374617664
2028-01-24,121.59946753985129
2028-01-31,120.59249084324237
2028-02-07,120.06954330507398
2028-02-14,119.28758482940952
2028-02-21,118.72277268926622
2028-02-28,118.19197050834333
2028-03-06,117.0936168577362
2028-03-13,113.43534815495717
2028-03-20,109.43892268837254
2028-03-27,108.9528223571743
2028-04-03,108.41004514869432
2028-04-10,107.98320424482365
2028-04-17,105.39691140676706
2028-04-24,103.8426738716274
2028-05-01,101.80397248771796
2028-05-08,99.3240623633517
2028-05-15,99.09072629658222
2028-05-22,98.80049195486629
2028-05-29,96.19685209722385
2028-06-05,96.02611518494687
2028-06-12,95.95990012221255
2028-06-19,95.88674085429585
2028-06-26,95.86376407143351
2028-07-03,95.89119935004477
2028-07-10,95.96877256589464
2028-07-17,96.09570863305264
2028-07-24,96.27073924829523
2028-07-31,96.49211556357231
2028-08-07,96.75762565991893
2028-08-14,97.06461664821838
2028-08-21,97.41002117599325
2028-08-28,97.79038807537762
2028-09-04,98.20191684604539
2028-09-11,98.64049562855338
2028-09-18,99.10174228868166
2028-09-25,101.98595085793126
2028-10-02,102.49042277218228
2028-10-09,103.00344483476321
2028-10-16,105.02497420221636
2028-10-23,106.78880858037346
2028-10-30,109.62164026143381
2028-11-06,112.97665884331988
2028-11-13,113.05286882273312
2028-11-20,113.27236445497971
2028-11-27,113.77481630885212
2028-12-04,114.20299666263885
2028-12-11,114.59421293200623
2028-12-18,116.73470290718315
2028-12-25,118.86122433423144
2029-01-01,122.88868532289494
2029-01-08,123.71884802142975
2029-01-15,123.8860920116797
2029-01-22,123.9959652921011
2029-01-29,124.04737004519528
2029-02-05,124.03979265166149
2029-02-12,123.89931559622873
2029-02-19,123.77466405796487
2029-02-26,123.66686093026988
2029-03-05,123.42995879361807
2029-03-12,123.14024347947503
2029-03-19,122.80060972749247
2029-03-26,122.41445104585226
2029-04-02,121.98562580445424
2029-04-09,121.51841868335968
2029-04-16,120.50647934043722
2029-04-23,119.97908631083766
2029-04-30,119.19377081069538
2029-05-07,118.62636131142114
